회사명,종목코드,영업이익(억),부채비율(%),시가총액(원)
핑거,163730,5.99,35.08,122800000000
한국정보인증,053300,17.89,31.38,298800000000
한글과컴퓨터,030520,10.34,44.48,616600000000
한솔아이원스,114810,22.01,50.76,254500000000
현대바이오랜드,052260,9.13,36.21,138400000000
휴비츠,065510,18.47,61.92,111300000000
DB하이텍,000990,45.64,31.04,2069000000000
DKME,015590,12.24,75.45,122000000000
F&F,383220,29.02,66.48,2409500000000
KEC,092220,7.04,31.67,157000000000
LG,003550,27.02,12.96,11746700000000
LX홀딩스,383800,67.07,1.49,595000000000
SK케미칼,285130,12.6,45.66,1078400000000
고려아연,010130,8.19,31.05,16158800000000
더블유게임즈,192080,29.79,22.79,1150000000000
더존비즈온,012510,14.96,89.94,2075100000000
동남합성,023450,6.96,84.07,111800000000
동서,026960,7.04,5.33,2716800000000
디씨엠,024090,10.18,15.68,142500000000
미스토홀딩스,081660,10.3,87.29,2199500000000
사조산업,007160,8.35,81.37,235000000000
세이브존I&C,067830,7.72,23.59,107500000000
시프트업,462870,33.95,12.6,2366000000000
아모레퍼시픽,090430,5.18,21.39,7171200000000
아모레퍼시픽홀딩스,002790,6.05,17.1,2224800000000
에스디바이오센서,137310,39.11,10.69,1216300000000
영원무역홀딩스,009970,22.11,37.71,1729300000000
유수홀딩스,000700,5.32,17.78,151600000000
티와이홀딩스,363280,5.04,47.63,176500000000
하이브,352820,13.34,66.3,11808400000000
한국자산신탁,123890,63.04,46.26,295500000000
한국타이어앤테크놀로지,161390,8.41,41.75,4924000000000
한미글로벌,053690,8.19,91.66,227900000000
한솔케미칼,014680,21.0,47.02,1945100000000
해성디에스,195870,24.35,47.47,426700000000
BGF에코머티리얼즈,126600,6.05,74.38,196800000000
HB솔루션,297890,14.46,50.03,174800000000
LS머트리얼즈,417200,8.93,49.0,711700000000
골프존,215000,24.08,58.11,401000000000
네오위즈,095660,6.64,22.09,508200000000
노바렉스,194700,8.94,49.19,364600000000
대아티아이,045390,9.05,81.6,386200000000
디어유,376300,33.11,8.01,1243900000000
디엔에프,092070,12.06,20.77,163500000000
디지털대성,068930,13.46,48.57,226700000000
메가스터디,072870,10.02,18.57,132000000000
메쎄이상,408920,22.32,25.27,132500000000
보광산업,225530,17.57,64.16,132600000000
삐아,451250,26.04,19.61,109000000000
서울옥션,063170,13.98,56.52,153600000000
서호전기,065710,20.72,12.94,194900000000
셀트리온제약,068760,9.89,68.09,2358600000000
솔브레인,357780,18.98,16.98,1890200000000
씨티씨바이오,060590,6.8,98.42,162300000000
에브리봇,270660,11.66,39.55,204300000000
에스에프에이,056190,9.55,36.28,861800000000
에스티팜,237690,7.16,67.3,1870200000000
에스피소프트,443670,14.57,23.03,160300000000
에이팩트,200470,6.23,86.58,118600000000
유비쿼스홀딩스,078070,18.08,12.8,176000000000
이녹스,088390,26.91,31.0,105500000000
인터로조,119610,20.52,44.62,240100000000
카카오게임즈,293490,15.32,92.27,1396300000000
케이아이엔엑스,093320,23.32,23.68,404100000000
테스,095610,15.62,9.73,544600000000
티앤엘,340570,29.8,10.3,482800000000
티엘비,356860,17.36,46.84,272900000000
파크시스템스,140860,26.22,39.83,1790100000000
펌텍코리아,251970,11.19,23.46,834500000000
폰드그룹,472850,24.0,80.94,350000000000
하나머티리얼즈,166090,30.5,61.18,516200000000
한국기업평가,034950,29.47,26.78,449100000000
한라IMS,092460,8.94,84.07,200200000000
현대무벡스,319400,5.78,41.96,519600000000
